"RowID","StudyArea","CountDate","AgeSex","Count"
433,"A","23/12/1985, 00.00.00","AM",4
434,"A","23/12/1985, 00.00.00","AF",1
435,"A","23/12/1985, 00.00.00","BB",2
436,"A","13/01/1986, 00.00.00","AM",4
437,"A","13/01/1986, 00.00.00","AF",4
438,"A","13/01/1986, 00.00.00","JM",1
439,"A","13/01/1986, 00.00.00","JF",1
440,"A","13/01/1986, 00.00.00","BB",2
441,"A","17/01/1986, 00.00.00","AM",6
442,"A","17/01/1986, 00.00.00","AF",5
443,"A","17/01/1986, 00.00.00","JF",1
444,"A","17/01/1986, 00.00.00","BB",4
445,"A","27/01/1986, 00.00.00","AM",2
446,"A","27/01/1986, 00.00.00","AF",2
447,"A","27/01/1986, 00.00.00","JM",1
448,"A","27/01/1986, 00.00.00","BB",5
449,"A","27/01/1986, 00.00.00","JX",1
450,"A","21/02/1986, 00.00.00","AM",2
451,"A","21/02/1986, 00.00.00","AF",1
452,"A","21/02/1986, 00.00.00","JM",1
453,"A","03/03/1986, 00.00.00","AM",6
454,"A","03/03/1986, 00.00.00","AF",3
455,"A","03/03/1986, 00.00.00","JM",1
456,"A","03/03/1986, 00.00.00","JF",1
457,"A","03/03/1986, 00.00.00","BB",4
458,"A","10/03/1986, 00.00.00","AM",6
459,"A","10/03/1986, 00.00.00","AF",4
460,"A","14/03/1986, 00.00.00","AM",2
461,"A","14/03/1986, 00.00.00","AF",2
462,"A","14/03/1986, 00.00.00","JM",2
463,"A","14/03/1986, 00.00.00","JF",2
464,"A","14/03/1986, 00.00.00","BB",1
465,"A","04/04/1986, 00.00.00","AM",5
466,"A","04/04/1986, 00.00.00","AF",3
467,"A","04/04/1986, 00.00.00","JM",1
468,"A","16/04/1986, 00.00.00","AM",2
469,"A","16/04/1986, 00.00.00","AF",1
470,"A","16/04/1986, 00.00.00","JM",1
471,"A","23/04/1986, 00.00.00","AM",4
472,"A","23/04/1986, 00.00.00","AF",2
